11	11	8	7	8
7	4	7	9	7
6	7	8	11	9
10	8	7	9	8
9	7	8	6	8

12	9	6	8	9
7	6	7	9	6
6	8	6	11	10
9	8	8	7	7
11	7	6	8	9

12	9	7	8	9
7	6	7	8	6
6	8	6	11	9
9	8	8	7	8
10	8	7	6	10

12	9	7	8	9
7	6	7	8	6
6	8	6	11	10
9	8	9	7	6
9	8	8	6	10

12	8	8	9	8
7	6	6	9	6
7	8	6	12	10
8	8	7	7	5
10	7	8	7	11

12	8	8	8	8
8	7	6	9	6
6	8	6	11	10
8	8	7	8	5
10	7	8	7	11

12	7	8	8	8
9	7	6	9	6
7	8	6	11	9
7	8	7	8	6
10	7	9	6	11

12	7	8	8	8
9	7	6	9	6
7	8	6	11	9
7	8	7	7	6
10	7	9	8	10

12	7	9	6	9
9	7	7	9	6
7	9	7	9	9
7	6	7	7	6
10	8	9	8	10

12	7	9	7	8
9	7	8	8	5
7	9	7	9	10
7	6	7	7	5
10	8	9	8	11

12	7	9	9	7
9	7	7	7	6
7	9	7	9	10
7	6	7	6	6
10	8	9	8	11

11	8	8	9	6
10	7	7	6	7
7	10	7	8	10
8	7	6	7	6
8	9	9	8	11

11	7	9	9	6
10	7	7	5	7
7	10	7	8	11
8	7	6	7	5
8	9	10	7	12

11	7	9	9	6
10	7	8	4	7
8	9	7	8	11
7	8	6	6	6
8	9	10	7	12

13	6	8	9	6
10	8	8	4	7
8	9	6	8	10
6	9	6	6	7
8	9	10	7	12

13	6	8	8	6
10	7	8	5	7
9	9	6	9	9
6	9	7	5	7
8	9	10	7	12

13	6	9	7	5
10	8	7	5	8
9	9	6	8	8
6	9	7	6	8
8	10	9	7	12

13	6	9	8	4
10	8	6	6	8
9	9	6	8	8
7	7	7	6	8
9	11	8	7	12

12	6	9	8	3
11	8	6	5	10
9	9	6	8	6
7	7	7	6	10
9	11	8	7	12

12	7	8	8	3
11	8	6	5	10
9	9	6	8	6
8	8	6	6	10
9	10	8	7	12

12	9	7	7	2
11	8	6	5	10
9	9	6	8	7
8	7	7	6	9
9	10	8	7	13

12	9	7	7	2
11	8	6	5	10
10	8	6	7	7
8	7	8	6	9
9	10	8	7	13

13	9	6	6	2
10	8	7	6	10
10	8	6	7	7
8	7	8	6	9
9	9	9	7	13

13	9	6	6	2
10	9	8	5	10
10	7	6	7	7
8	7	8	6	9
9	10	7	8	13

13	9	6	6	2
10	10	7	5	10
9	9	4	8	7
8	7	8	6	9
9	10	7	8	13

