2	0	2	6	0
2	3	9	1	0
3	1	3	2	0
3	2	1	1	0
0	0	0	0	0

5	0	5	9	0
4	5	9	2	0
9	3	3	4	0
7	4	6	1	0
0	0	0	0	0

6	1	6	9	0
5	10	9	4	0
12	6	3	8	0
10	6	9	2	0
0	0	0	0	0

6	3	8	13	0
8	16	11	6	0
18	11	4	13	0
11	9	15	5	0
0	0	0	0	0

11	4	9	18	0
11	22	14	7	0
22	14	6	18	0
13	12	15	6	0
2	0	0	0	0

15	8	9	21	0
11	25	17	9	0
30	18	7	23	0
14	13	18	8	0
3	0	0	0	0

18	10	10	24	0
12	27	21	13	0
36	20	9	26	0
17	15	21	9	0
3	0	0	0	0

20	11	17	28	0
13	27	23	16	0
41	21	10	26	0
21	19	23	13	0
5	0	0	0	0

21	14	17	31	0
18	28	25	19	0
45	21	12	29	0
26	20	26	16	0
6	0	0	0	0

21	16	19	33	0
21	29	28	22	0
50	23	16	29	0
30	20	31	21	0
9	0	0	0	0

21	17	24	35	0
24	29	31	26	0
54	23	22	32	0
32	21	32	28	0
10	0	0	0	0

24	21	26	39	0
25	29	34	29	0
60	27	29	33	0
36	24	32	32	0
11	0	0	0	0

25	23	31	40	0
26	31	39	30	0
63	29	34	34	0
39	27	34	37	0
12	0	0	0	0

25	25	35	45	0
27	34	41	31	0
66	31	39	34	0
43	29	34	43	0
14	0	0	0	0

25	29	41	48	0
30	37	44	33	0
67	34	42	34	0
46	30	39	49	0
16	0	0	0	0

28	29	41	49	0
31	37	47	35	0
70	35	43	35	0
52	30	40	54	0
16	0	0	0	0

33	30	48	49	0
33	40	49	40	0
73	39	45	38	0
58	32	44	59	0
16	0	0	0	0

33	33	54	51	0
35	44	54	43	0
77	44	45	39	0
64	34	46	68	0
18	0	0	0	0

33	33	62	53	0
35	46	55	46	0
80	46	46	42	0
71	35	47	74	0
20	0	0	0	0

33	33	62	53	0
35	47	56	48	0
84	49	48	44	0
75	36	49	79	0
22	0	0	0	0

35	33	63	53	0
35	49	57	53	0
87	54	50	45	0
79	38	51	88	0
22	0	0	0	0

39	34	63	54	0
37	54	60	60	0
89	58	54	49	0
85	41	54	92	0
23	0	0	0	0

41	34	63	54	0
38	55	62	70	0
93	59	54	53	0
91	44	59	95	0
24	0	0	0	0

43	36	67	54	0
38	58	65	75	0
98	62	54	57	0
96	47	67	99	0
25	0	0	0	0

45	37	71	56	0
38	59	70	80	0
103	66	55	60	0
101	49	71	103	0
25	0	0	0	0

46	37	74	57	0
39	61	73	82	0
105	67	56	62	0
105	50	75	107	0
25	0	0	0	0

47	39	78	57	0
39	61	76	84	0
105	67	56	62	0
108	50	82	113	0
27	0	0	0	0

49	41	79	59	0
39	61	78	85	0
107	69	60	67	0
112	50	90	119	0
28	0	0	0	0

49	41	79	60	0
39	62	81	87	0
109	72	65	70	0
117	51	96	125	0
29	0	0	0	0

50	41	80	61	0
39	62	82	91	0
112	73	68	74	0
124	53	104	134	0
29	0	0	0	0

52	43	81	62	0
39	63	83	93	0
115	78	69	82	0
127	57	110	142	0
31	0	0	0	0

54	45	81	64	0
40	65	86	96	0
119	82	70	85	0
131	57	115	148	0
32	0	0	0	0

55	45	84	67	0
41	65	86	100	0
119	82	72	89	0
138	58	122	155	0
33	0	0	0	0

56	45	85	70	0
41	67	86	101	0
121	83	73	90	0
142	60	128	163	0
35	0	0	0	0

57	45	86	72	0
41	70	87	104	0
126	85	76	97	0
146	62	133	173	0
